Title, new test ada boost with categorizing numerical values k=5 fixed with no random seed when split
k accuracy, learn rate, tree size, random
0.78908, 0.01, 100, None
0.7925200000000001, 0.01, 100, 42
0.79072, 0.01, 200, None
0.7922, 0.01, 200, 42
0.8369199999999999, 0.01, 500, None
0.8368800000000001, 0.01, 500, 42
0.84612, 0.1, 100, None
0.84264, 0.1, 100, 42
0.8466799999999999, 0.1, 200, None
0.8488, 0.1, 200, 42
0.8488, 0.1, 500, None
0.84568, 0.1, 500, 42
0.84744, 0.5, 100, None
0.85084, 0.5, 100, 42
0.85068, 0.5, 200, None
0.8473200000000001, 0.5, 200, 42
0.8564, 0.5, 500, None
0.8507199999999999, 0.5, 500, 42
0.8522000000000001, 1, 100, None
0.8502000000000001, 1, 100, 42
0.85008, 1, 200, None
0.8535600000000001, 1, 200, 42
0.8560000000000001, 1, 500, None
0.85412, 1, 500, 42
0.71968, 2, 100, None
0.5378399999999999, 2, 100, 42
0.7376799999999999, 2, 200, None
0.63588, 2, 200, 42
0.56252, 2, 500, None
0.64832, 2, 500, 42
0.75456, 5, 100, None
0.75736, 5, 100, 42
0.75952, 5, 200, None
0.7615200000000001, 5, 200, 42
0.75948, 5, 500, None
0.7572399999999999, 5, 500, 42
0.7631600000000001, 10, 100, None
0.7611999999999999, 10, 100, 42
0.75992, 10, 200, None
0.76116, 10, 200, 42
0.7614000000000001, 10, 500, None
0.75816, 10, 500, 42
